AFRINIC Allocated Address Table
-------------------------------

Origin AS       Network
 15964          41.67.231.0/24
 15964          41.67.236.0/22
 15964          41.67.248.0/22
 24835          41.68.0.0/15
 24835          41.68.0.0/20
 24835          41.68.0.0/22
 24835          41.68.4.0/22
 24835          41.68.8.0/22
 24835          41.68.12.0/22
 24835          41.68.16.0/20
 24835          41.68.16.0/22
 24835          41.68.20.0/22
 24835          41.68.24.0/22
 24835          41.68.28.0/22
 24835          41.68.32.0/20
 24835          41.68.32.0/22
 24835          41.68.36.0/22
 24835          41.68.40.0/22
 24835          41.68.44.0/22
 24835          41.68.48.0/20
 24835          41.68.48.0/22
 24835          41.68.52.0/22
 24835          41.68.56.0/22
 24835          41.68.60.0/22
 24835          41.68.64.0/20
 24835          41.68.64.0/22
 24835          41.68.68.0/22
 24835          41.68.72.0/22
 24835          41.68.76.0/22
 24835          41.68.80.0/20
 24835          41.68.80.0/22
 24835          41.68.84.0/22
 24835          41.68.88.0/22
 24835          41.68.92.0/22
 24835          41.68.96.0/20
 24835          41.68.96.0/22
 24835          41.68.100.0/22
 24835          41.68.104.0/22
 24835          41.68.108.0/22
 24835          41.68.112.0/20
 24835          41.68.112.0/22
 24835          41.68.116.0/22
 24835          41.68.120.0/22
 24835          41.68.124.0/22
 24835          41.68.128.0/20
 24835          41.68.128.0/22
 24835          41.68.132.0/22
 24835          41.68.136.0/22
 24835          41.68.140.0/22
 24835          41.68.144.0/20
 24835          41.68.144.0/22
 24835          41.68.148.0/22
 24835          41.68.152.0/22
 24835          41.68.156.0/22
